Player,Points
LethalPilot,405
SuperToad916,343
BeanGangTingle,323
humilau,306
JJ22FTW,303
bpm2007,282
IceKing12323,269
Jamez10,236
asher_06,227
CluelessGamer18,215
bhearts,202
cowDude12345,180
Hunter13004,172
KirynMissy,171
NautilusReign,170
josie_elite,147
LightningLucario,144
Labmonjo1210,142
SpaghettiGremlin,134
lurchlurger,132
SerRonanIrwin,132
1800getpoop,128
Abach6,121
TVTrickster,120
Astral_Jade,120
LlamaBoombama,114
sapphronn,114
lgmusicfan,102
iicbunny,100
QuinnQuimby,91
ronescape,91
PugBeans,90
tenparks,85
Kyzr_,84
Basyleasjkresdjyll,73
Pretty_,66
lgmusic,60
