Player,Points
CluelessGamer18,3175.6
LethalPilot,2721.25
JJ22FTW,2651
IceKing12323,2517.666667
Jamez10,2480.857143
Hunter13004,2479.5
SuperToad916,2435.666667
Astral_Jade,2230
BeanGangTingle,2189.4
KirynMissy,2187.285714
Star_Dragon4,2132
IvanTT,2130
Lucid928,1924.666667
lgmusicfan,1853.5
Abach6,1833.4
humilau,1772
NautilusReign,1622.2
AllieThaDon,1612
LightningLucario,1455.8
sapphronn,1450.5
1800getpoop,1383.714286
SerRonanIrwin,1376
josie_elite,1369.333333
baysicalie03,1321
SpaghettiGremlin,1261.25
GaymerMoment,1222
QuinnQuimby,961.3333333
tenparks,852.4
odsstel,0
